"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000116241",0,NA,NA,NA,NA,NA
"ENSMUSG00000093139",0,NA,NA,NA,NA,NA
"ENSMUSG00000115877",0.539788039236959,-1.12870986872956,3.80652524269502,-0.296519738282475,0.76683319540485,NA
"ENSMUSG00000119078",0.0543853363453773,0.554410693677843,4.54300791803517,0.122036039487605,0.902870476185996,NA
"ENSMUSG00000116039",0.443116404985096,0.637195513791093,2.45418218316945,0.259636598358883,0.795144102772103,NA
"ENSMUSG00000089968",0.29125650566121,-0.809121072903197,3.15555452703242,-0.256411691185105,0.797632961292283,NA
"ENSMUSG00000116255",0.661094844321438,-1.25653011199198,2.11902755962612,-0.592974879578106,0.553197963915936,NA
"ENSMUSG00002076514",0,NA,NA,NA,NA,NA
"ENSMUSG00000116021",0,NA,NA,NA,NA,NA
"ENSMUSG00000116366",0.0990784951549963,-1.1286881469736,4.54300791803517,-0.248445119915563,0.803790026995232,NA
"ENSMUSG00000115912",0.125988101014112,0.554405589227582,4.54300791803517,0.12203491590377,0.902871366025423,NA
"ENSMUSG00000082233",0.465619738440738,-2.75088277475216,2.46054195902885,-1.11799872571078,0.2635675376068,NA
"ENSMUSG00000116292",0,NA,NA,NA,NA,NA
"ENSMUSG00000101113",0.390465128550189,-0.407382774757723,4.15862730403553,-0.0979608762637612,0.921963360112434,NA
"ENSMUSG00000116356",0,NA,NA,NA,NA,NA
"ENSMUSG00000084497",0,NA,NA,NA,NA,NA
"ENSMUSG00000019146",0.108770672690755,1.47315740873619,4.50295683469676,0.32715334896951,0.743551903186277,NA
"ENSMUSG00000119242",0,NA,NA,NA,NA,NA
"ENSMUSG00000022986",10.3528724574483,-0.166935931715075,2.98158511853044,-0.0559889874273835,NA,NA
"ENSMUSG00000115860",0,NA,NA,NA,NA,NA
"ENSMUSG00000064232",0,NA,NA,NA,NA,NA
"ENSMUSG00000115903",0,NA,NA,NA,NA,NA
"ENSMUSG00000095241",0.0543853363453773,0.554410693677843,4.54300791803517,0.122036039487605,0.902870476185996,NA
"ENSMUSG00002075440",0,NA,NA,NA,NA,NA
"ENSMUSG00000118545",0,NA,NA,NA,NA,NA
"ENSMUSG00002075844",0,NA,NA,NA,NA,NA
"ENSMUSG00000119810",0,NA,NA,NA,NA,NA
"ENSMUSG00000070235",0,NA,NA,NA,NA,NA
"ENSMUSG00002075978",0,NA,NA,NA,NA,NA
"ENSMUSG00002076431",0.161780395466274,0.55439582512071,4.54300791802986,0.122032766643544,0.902873068165315,NA
"ENSMUSG00000062154",0.90868014440675,2.44196168233284,2.08334528036301,1.17213488582523,0.241142905702012,NA
"ENSMUSG00000116445",0,NA,NA,NA,NA,NA
"ENSMUSG00000051879",0,NA,NA,NA,NA,NA
"ENSMUSG00000056605",0.139737967339174,0.554405589227582,4.54300791803517,0.12203491590377,0.902871366025423,NA
"ENSMUSG00000063661",0,NA,NA,NA,NA,NA
"ENSMUSG00000064201",0,NA,NA,NA,NA,NA
"ENSMUSG00000067594",0.378054292937529,3.01875077192918,3.2622756846194,0.925351216073379,0.354783245835353,NA
"ENSMUSG00002076101",0,NA,NA,NA,NA,NA
"ENSMUSG00000116194",0,NA,NA,NA,NA,NA
"ENSMUSG00000099180",0,NA,NA,NA,NA,NA
"ENSMUSG00000116378",0,NA,NA,NA,NA,NA
"ENSMUSG00000115887",0,NA,NA,NA,NA,NA
"ENSMUSG00000092974",0,NA,NA,NA,NA,NA
"ENSMUSG00000032988",0.435754425994285,0.554404602648597,3.41257060264949,0.162459526029487,0.870943998363447,NA
"ENSMUSG00000116263",0,NA,NA,NA,NA,NA
"ENSMUSG00000115962",0,NA,NA,NA,NA,NA
"ENSMUSG00000116127",0,NA,NA,NA,NA,NA
"ENSMUSG00000115798",0,NA,NA,NA,NA,NA
"ENSMUSG00000092868",0,NA,NA,NA,NA,NA
"ENSMUSG00000058357",1.03928645279184,-0.060798770809009,1.49695261371634,-0.0406150269901128,0.967602804236056,NA
"ENSMUSG00000064587",0,NA,NA,NA,NA,NA
"ENSMUSG00000116321",0.593712354118362,1.5086738883992,3.90251634995891,0.386590023745856,0.699059744703166,NA
"ENSMUSG00000116122",0,NA,NA,NA,NA,NA
"ENSMUSG00000115917",0,NA,NA,NA,NA,NA
"ENSMUSG00000091198",0.383108839683726,-2.7050744812119,3.42661077851804,-0.789431498368718,0.429859852125934,NA
"ENSMUSG00002076492",0,NA,NA,NA,NA,NA
"ENSMUSG00000084739",0.369290962885169,-1.128703187083,3.55849513939245,-0.317185535702519,0.751102824551921,NA
"ENSMUSG00000116516",0,NA,NA,NA,NA,NA
"ENSMUSG00000061633",0,NA,NA,NA,NA,NA
"ENSMUSG00000116044",0,NA,NA,NA,NA,NA
"ENSMUSG00000116304",0,NA,NA,NA,NA,NA
"ENSMUSG00000116406",0,NA,NA,NA,NA,NA
"ENSMUSG00000075524",0,NA,NA,NA,NA,NA
"ENSMUSG00000098177",0.138503503760953,-1.95153640921102,4.53095170739354,-0.430712251032499,0.666677609792173,NA
"ENSMUSG00002075328",0,NA,NA,NA,NA,NA
"ENSMUSG00000115843",0.422939724470344,-2.37073964657929,2.90266580123898,-0.816745643114462,0.414073801560264,NA
"ENSMUSG00000115032",0,NA,NA,NA,NA,NA
"ENSMUSG00000068117",0.107374746959417,-1.1286881469736,4.54300791803517,-0.248445119915563,0.803790026995232,NA
"ENSMUSG00000115259",0,NA,NA,NA,NA,NA
"ENSMUSG00000115409",0,NA,NA,NA,NA,NA
"ENSMUSG00000084240",0.684294537725735,1.76334702240279,2.05802039014141,0.856817080554597,0.391545984446768,NA
"ENSMUSG00000081771",0.916994427003548,-0.0855413271391205,2.05520118183777,-0.0416218752183809,0.966800134448165,NA
"ENSMUSG00002075483",0.275217369930333,-1.5511118049521,4.50254269734318,-0.344496856380145,0.730472659769743,NA
"ENSMUSG00002076146",0,NA,NA,NA,NA,NA
"ENSMUSG00000047295",0.478148853690974,-0.654056388152374,2.62052199926155,-0.249590115380327,0.802904343494405,NA
"ENSMUSG00000116212",0,NA,NA,NA,NA,NA
"ENSMUSG00000116093",0.415657333009581,1.48587704923502,2.87341718444702,0.517111492642852,0.605078331394533,NA
"ENSMUSG00000098203",0.230384926237043,-1.12868984849716,4.54300791803517,-0.248445494452342,0.803789737240121,NA
