"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000029417",6901.24513530129,-8.40623641337896,0.443716040486728,-18.9450811923722,4.84842564385413e-80,1.49651186246785e-77
"ENSMUSG00000028459",474.523592254076,-3.13594038780236,0.165546272488085,-18.9429839806756,5.04548501319624e-80,1.54040851142017e-77
"ENSMUSG00000079491",411.630548218745,-2.61742573719024,0.138472908064597,-18.9020782026851,1.09647379582423e-79,3.31158666420548e-77
"ENSMUSG00000002325",2374.17329114371,-2.24554439251907,0.119002145818985,-18.8697806839112,2.02135631826993e-79,6.0399847093155e-77
"ENSMUSG00000066861",338.830511309329,-7.78523678734313,0.41280162788974,-18.8595108675845,2.45480310276177e-79,7.25794837372342e-77
"ENSMUSG00000078153",1500.06542691705,-2.49436658188595,0.132579584469242,-18.8141077064896,5.78746393075451e-79,1.69331548840659e-76
"ENSMUSG00000066363",6076.04719318063,-4.00333423360122,0.213984743828659,-18.7085030548101,4.2206432448112e-78,1.22215904598203e-75
"ENSMUSG00000034422",11092.816693701,-3.88095378467148,0.208066033735436,-18.6525100469126,1.2048567368151e-77,3.45326694119005e-75
"ENSMUSG00000024610",51544.7597521045,-3.24771378094198,0.175202976695932,-18.536864168572,1.04118381608159e-76,2.95401727536361e-74
"ENSMUSG00000023224",25493.0740215133,-1.58293537556044,0.0856605096296005,-18.4791729865386,3.03802299580374e-76,8.53319899061354e-74
"ENSMUSG00000046031",386.818140537647,-6.26181023406162,0.341447154474945,-18.3390318296564,4.03926663183006e-75,1.11230314857689e-72
"ENSMUSG00000069919",19042.9062278096,5.4966403704917,0.299720869304369,18.339198011967,4.02693887797276e-75,1.11230314857689e-72
"ENSMUSG00000046718",3727.84416043435,-3.83126761139316,0.212884332196075,-17.9969449694607,2.05865985384661e-72,5.61394543445083e-70
"ENSMUSG00000057137",4994.42428946583,-2.53279598272041,0.14157258976596,-17.8904404228777,1.39997470744237e-71,3.78100861371551e-69
"ENSMUSG00000038521",9775.87476903321,-2.16857392711754,0.121760931604476,-17.8100963793695,5.90081277102856e-71,1.57849551535857e-68
"ENSMUSG00000022216",5376.06952031494,-1.96384265322552,0.110911315526144,-17.7064228650557,3.74105552901651e-70,9.91309129235998e-68
"ENSMUSG00000040253",9278.62293330231,-5.04071514447086,0.28493073656621,-17.6910192463547,4.9177789860005e-70,1.29093996410077e-67
"ENSMUSG00000079197",4227.85476919871,-2.32508622346278,0.131996502486826,-17.6147562977651,1.89804809029819e-69,4.93633099632367e-67
"ENSMUSG00000039682",3733.86401673848,-2.60506120485392,0.148383654939317,-17.5562544669714,5.32767979537536e-69,1.37287954213306e-66
